ImageNumber	ObjectNumber	FileName_CellLabels	FileName_DNA	FileName_NucleiLabels	FileName_PLA	FileName_PLALabels	PathName_CellLabels	PathName_DNA	PathName_NucleiLabels	PathName_PLA	PathName_PLALabels	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	Children_PLA_dots_Count	Location_Center_X	Location_Center_Y
1	11	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	9031	16.256.084.597.497.500	35.124.128.003.543.300	57	16.256.084.597.497.500	35.124.128.003.543.300
1	12	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	9168	3.764.292.102.966.840	3.742.028.795.811.510	52	3.764.292.102.966.840	3.742.028.795.811.510
1	13	Well_1_C0_cells_labels.tiff	Well_1_C0.tif	Well_1_C0_nuclei_labels.tiff	Well_1_C1.tif	Well_1_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	4339	20.667.204.424.982.700	39.739.963.125.144.000	25	20.667.204.424.982.700	39.739.963.125.144.000
2	1	Well_2_C0_cells_labels.tiff	Well_2_C0.tif	Well_2_C0_nuclei_labels.tiff	Well_2_C1.tif	Well_2_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	11608	2.855.584.079.944.860	5.380.702.963.473.460	7	2.855.584.079.944.860	5.380.702.963.473.460
2	2	Well_2_C0_cells_labels.tiff	Well_2_C0.tif	Well_2_C0_nuclei_labels.tiff	Well_2_C1.tif	Well_2_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	11567	33.202.705.973.891.200	15.262.202.818.362.500	7	33.202.705.973.891.200	15.262.202.818.362.500
2	3	Well_2_C0_cells_labels.tiff	Well_2_C0.tif	Well_2_C0_nuclei_labels.tiff	Well_2_C1.tif	Well_2_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	7111	3.146.945.577.274.640	24.143.777.246.519.400	4	3.146.945.577.274.640	24.143.777.246.519.400
2	4	Well_2_C0_cells_labels.tiff	Well_2_C0.tif	Well_2_C0_nuclei_labels.tiff	Well_2_C1.tif	Well_2_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	10467	398.315.085.506.831	27.848.915.639.629.300	2	398.315.085.506.831	27.848.915.639.629.300
2	5	Well_2_C0_cells_labels.tiff	Well_2_C0.tif	Well_2_C0_nuclei_labels.tiff	Well_2_C1.tif	Well_2_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	12456	1.864.930.154.142.580	3.115.578.034.682.080	6	1.864.930.154.142.580	3.115.578.034.682.080
2	6	Well_2_C0_cells_labels.tiff	Well_2_C0.tif	Well_2_C0_nuclei_labels.tiff	Well_2_C1.tif	Well_2_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	6264	3.333.368.454.661.550	3.288.844.189.016.600	6	3.333.368.454.661.550	3.288.844.189.016.600
2	7	Well_2_C0_cells_labels.tiff	Well_2_C0.tif	Well_2_C0_nuclei_labels.tiff	Well_2_C1.tif	Well_2_C0_pla_labels.tiff	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	/Users/tischer/Documents/cellprofiler-practical-NeuBIAS-Lisbon-2017/mobie	8144	2.783.652.996.070.720	35.741.380.157.170.900	4	2.783.652.996.070.720	35.741.380.157.170.900
